"ts","msisdn","service_id","lat","lon"
"2021-02-05 13:11:31","233010000055",11,5.614223,-0.196336
"2021-02-05 13:39:40","233010000062",11,6.611944,0.470278
"2021-02-05 13:56:55","233010000093",11,6.083333,-0.25
"2021-02-05 14:24:05","233010000089",11,6.611944,0.470278
"2021-02-05 14:41:14","233010000066",11,5.55,-0.02
"2021-02-05 14:53:24","233010000090",11,7.062351,-1.404598
"2021-02-05 14:57:35","233010000063",11,9.432919,-0.848452
"2021-02-05 15:15:18","233010000086",11,5.666667,0.0
"2021-02-05 15:26:15","233010000083",11,7.062351,-1.404598
"2021-02-05 15:49:16","233010000053",11,5.666667,0.0
"2021-02-05 15:50:50","233010000067",11,5.533765,-0.70128
"2021-02-05 16:05:24","233010000069",11,9.432919,-0.848452
"2021-02-05 17:26:45","233010000098",11,6.611944,0.470278
"2021-02-05 17:54:25","233010000074",11,5.593222,-0.140138
"2021-02-05 18:06:39","233010000071",11,6.083333,-0.25
"2021-02-05 18:07:58","233010000099",11,6.611944,0.470278
"2021-02-05 18:17:18","233010000059",11,5.55,-0.02
"2021-02-05 18:49:04","233010000091",11,7.062351,-1.404598
"2021-02-05 18:54:17","233010000082",11,6.700071,-1.630783
"2021-02-05 18:54:25","233010000068",11,5.362229,-0.629892
"2021-02-05 18:56:09","233010000081",11,5.55,-0.02
"2021-02-05 19:38:21","233010000076",11,7.062351,-1.404598
"2021-02-05 19:43:03","233010000088",11,5.362229,-0.629892
"2021-02-05 20:16:49","233010000057",11,6.700071,-1.630783
"2021-02-05 20:26:18","233010000080",11,10.060074,-2.509891
"2021-02-05 20:37:16","233010000075",11,5.55,-0.02
"2021-02-05 20:59:31","233010000097",11,6.083333,-0.25
"2021-02-05 21:23:37","233010000064",11,5.666667,0.0
"2021-02-05 21:54:26","233010000094",11,5.533765,-0.70128
"2021-02-05 23:07:14","233010000058",11,5.593222,-0.140138
"2021-02-05 23:14:15","233010000056",11,5.55,-0.02
"2021-02-05 23:49:28","233010000096",11,5.533765,-0.70128
"2021-02-06 00:04:18","233010000079",11,10.060074,-2.509891
"2021-02-06 00:13:29","233010000095",11,6.611944,0.470278
"2021-02-06 00:35:43","233010000060",11,7.062351,-1.404598
"2021-02-06 00:47:50","233010000061",11,5.593222,-0.140138
"2021-02-06 01:01:21","233010000054",11,10.060074,-2.509891
"2021-02-06 01:01:42","233010000072",11,5.55,-0.02
"2021-02-06 01:14:58","233010000085",11,4.904203,-1.759872
"2021-02-06 01:21:31","233010000065",11,5.593222,-0.140138
"2021-02-06 01:49:54","233010000084",11,5.614223,-0.196336
"2021-02-06 02:04:17","233010000100",11,7.062351,-1.404598
"2021-02-06 02:08:25","233010000077",11,4.904203,-1.759872
"2021-02-06 02:42:11","233010000070",11,10.060074,-2.509891
"2021-02-06 02:43:08","233010000052",11,10.060074,-2.509891
"2021-02-06 02:45:58","233010000078",11,9.432919,-0.848452
"2021-02-06 03:21:16","233010000087",11,5.362229,-0.629892
"2021-02-06 03:47:59","233010000051",11,9.432919,-0.848452
"2021-02-06 05:28:37","233010000092",11,7.062351,-1.404598
"2021-02-06 05:44:36","233010000073",11,10.060074,-2.509891
